,episode_nr,total_reward,avg_reward
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0
3,4,0,0.0
4,5,2,40.0
5,6,2,33.3
6,7,2,28.6
7,8,2,25.0
8,9,2,22.2
9,10,2,20.0
10,11,2,18.2
11,12,4,33.3
12,13,4,30.8
13,14,4,28.6
14,15,4,26.7
15,16,4,25.0
16,17,4,23.5
17,18,4,22.2
18,19,4,21.1
19,20,4,20.0
20,21,4,19.0
21,22,4,18.2
22,23,4,17.4
23,24,4,16.7
24,25,4,16.0
25,26,4,15.4
26,27,4,14.8
27,28,4,14.3
28,29,4,13.8
29,30,4,13.3
30,31,4,12.9
31,32,4,12.5
32,33,4,12.1
33,34,4,11.8
34,35,4,11.4
35,36,4,11.1
36,37,4,10.8
37,38,4,10.5
38,39,4,10.3
39,40,4,10.0
40,41,4,9.8
41,42,4,9.5
42,43,4,9.3
43,44,4,9.1
44,45,4,8.9
45,46,4,8.7
46,47,4,8.5
47,48,4,8.3
48,49,4,8.2
49,50,4,8.0
50,51,4,7.8
51,52,4,7.7
52,53,4,7.5
53,54,4,7.4
54,55,4,7.3
55,56,4,7.1
56,57,4,7.0
57,58,4,6.9
58,59,4,6.8
59,60,4,6.7
60,61,4,6.6
61,62,4,6.5
62,63,4,6.3
63,64,4,6.2
64,65,4,6.2
65,66,4,6.1
66,67,4,6.0
67,68,4,5.9
68,69,4,5.8
69,70,4,5.7
70,71,4,5.6
71,72,4,5.6
72,73,4,5.5
73,74,4,5.4
74,75,4,5.3
75,76,4,5.3
76,77,4,5.2
77,78,4,5.1
78,79,4,5.1
79,80,4,5.0
80,81,4,4.9
81,82,4,4.9
82,83,4,4.8
83,84,4,4.8
84,85,4,4.7
85,86,4,4.7
86,87,6,6.9
87,88,6,6.8
88,89,6,6.7
89,90,6,6.7
90,91,6,6.6
91,92,6,6.5
92,93,6,6.5
93,94,6,6.4
94,95,6,6.3
95,96,6,6.2
96,97,6,6.2
97,98,8,8.2
98,99,8,8.1
99,100,8,8.0
100,101,8,7.9
101,102,8,7.8
102,103,8,7.8
103,104,8,7.7
104,105,8,7.6
105,106,8,7.5
106,107,8,7.5
107,108,8,7.4
108,109,8,7.3
109,110,8,7.3
110,111,8,7.2
111,112,8,7.1
112,113,8,7.1
113,114,8,7.0
114,115,8,7.0
115,116,8,6.9
116,117,8,6.8
117,118,8,6.8
118,119,8,6.7
119,120,8,6.7
120,121,8,6.6
121,122,8,6.6
122,123,8,6.5
123,124,8,6.5
124,125,8,6.4
125,126,8,6.3
126,127,8,6.3
127,128,8,6.2
128,129,8,6.2
129,130,8,6.2
130,131,8,6.1
131,132,8,6.1
132,133,8,6.0
133,134,8,6.0
134,135,8,5.9
135,136,8,5.9
136,137,8,5.8
137,138,8,5.8
138,139,8,5.8
139,140,8,5.7
140,141,8,5.7
141,142,8,5.6
142,143,10,7.0
143,144,10,6.9
144,145,10,6.9
145,146,10,6.8
146,147,10,6.8
147,148,10,6.8
148,149,10,6.7
149,150,10,6.7
150,151,10,6.6
151,152,10,6.6
152,153,10,6.5
153,154,10,6.5
154,155,10,6.5
155,156,10,6.4
156,157,10,6.4
157,158,10,6.3
158,159,10,6.3
159,160,10,6.2
160,161,12,7.5
161,162,12,7.4
162,163,12,7.4
163,164,12,7.3
164,165,12,7.3
165,166,14,8.4
166,167,14,8.4
167,168,16,9.5
168,169,16,9.5
169,170,16,9.4
170,171,18,10.5
171,172,18,10.5
172,173,18,10.4
173,174,18,10.3
174,175,18,10.3
175,176,20,11.4
176,177,22,12.4
177,178,22,12.4
178,179,22,12.3
179,180,22,12.2
180,181,22,12.2
181,182,22,12.1
182,183,22,12.0
183,184,24,13.0
184,185,26,14.1
185,186,26,14.0
186,187,26,13.9
187,188,0,6.95290342443263e-310
188,189,26,13.8
189,190,26,13.7
190,191,26,13.6
191,192,26,13.5
192,193,26,13.5
193,194,26,13.4
194,195,28,14.4
195,196,28,14.3
196,197,0,9.448484376665e-312
197,198,28,14.1
198,199,28,14.1
199,200,28,14.0
200,201,28,13.9
