,episode_nr,total_reward,avg_reward
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0
3,4,2,50.0
4,5,2,40.0
5,6,2,33.3
6,7,2,28.6
7,8,2,25.0
8,9,2,22.2
9,10,2,20.0
10,11,2,18.2
11,12,2,16.7
12,13,2,15.4
13,14,2,14.3
14,15,2,13.3
15,16,2,12.5
16,17,2,11.8
17,18,2,11.1
18,19,2,10.5
19,20,2,10.0
20,21,2,9.5
21,22,2,9.1
22,23,2,8.7
23,24,2,8.3
24,25,2,8.0
25,26,2,7.7
26,27,2,7.4
27,28,2,7.1
28,29,2,6.9
29,30,2,6.7
30,31,2,6.5
31,32,2,6.2
32,33,2,6.1
33,34,2,5.9
34,35,2,5.7
35,36,2,5.6
36,37,2,5.4
37,38,2,5.3
38,39,2,5.1
39,40,2,5.0
40,41,2,4.9
41,42,2,4.8
42,43,2,4.7
43,44,2,4.5
44,45,2,4.4
45,46,2,4.3
46,47,2,4.3
47,48,2,4.2
48,49,2,4.1
49,50,2,4.0
50,51,2,3.9
51,52,2,3.8
52,53,2,3.8
53,54,4,7.4
54,55,4,7.3
55,56,4,7.1
56,57,4,7.0
57,58,4,6.9
58,59,4,6.8
59,60,4,6.7
60,61,4,6.6
61,62,4,6.5
62,63,4,6.3
63,64,4,6.2
64,65,4,6.2
65,66,4,6.1
66,67,4,6.0
67,68,4,5.9
68,69,4,5.8
69,70,4,5.7
70,71,4,5.6
71,72,4,5.6
72,73,4,5.5
73,74,4,5.4
74,75,4,5.3
75,76,4,5.3
76,77,4,5.2
77,78,4,5.1
78,79,4,5.1
79,80,4,5.0
80,81,4,4.9
81,82,4,4.9
82,83,4,4.8
83,84,4,4.8
84,85,4,4.7
85,86,4,4.7
86,87,4,4.6
87,88,4,4.5
88,89,4,4.5
89,90,4,4.4
90,91,4,4.4
91,92,4,4.3
92,93,4,4.3
93,94,4,4.3
94,95,6,6.3
95,96,6,6.2
96,97,6,6.2
97,98,6,6.1
98,99,6,6.1
99,100,6,6.0
100,101,6,5.9
101,102,6,5.9
102,103,6,5.8
103,104,6,5.8
104,105,8,7.6
105,106,8,7.5
106,107,8,7.5
107,108,8,7.4
108,109,8,7.3
109,110,8,7.3
110,111,8,7.2
111,112,8,7.1
112,113,8,7.1
113,114,8,7.0
114,115,8,7.0
115,116,8,6.9
116,117,8,6.8
117,118,8,6.8
118,119,10,8.4
119,120,10,8.3
120,121,10,8.3
121,122,10,8.2
122,123,10,8.1
123,124,10,8.1
124,125,10,8.0
125,126,10,7.9
126,127,10,7.9
127,128,12,9.4
128,129,12,9.3
129,130,12,9.2
130,131,12,9.2
131,132,14,10.6
132,133,14,10.5
133,134,14,10.4
134,135,14,10.4
135,136,14,10.3
136,137,16,11.7
137,138,16,11.6
138,139,16,11.5
139,140,16,11.4
140,141,16,11.3
141,142,16,11.3
142,143,16,11.2
143,144,16,11.1
144,145,16,11.0
145,146,16,11.0
146,147,16,10.9
147,148,16,10.8
148,149,16,10.7
149,150,16,10.7
150,151,16,10.6
151,152,16,10.5
152,153,16,10.5
153,154,16,10.4
154,155,16,10.3
155,156,16,10.3
156,157,16,10.2
157,158,16,10.1
158,159,16,10.1
159,160,16,10.0
160,161,16,9.9
161,162,16,9.9
162,163,18,11.0
163,164,20,12.2
164,165,20,12.1
165,166,20,12.0
166,167,20,12.0
167,168,20,11.9
168,169,20,11.8
169,170,20,11.8
170,171,20,11.7
171,172,20,11.6
172,173,22,12.7
173,174,22,12.6
174,175,22,12.6
175,176,22,12.5
176,177,22,12.4
177,178,22,12.4
178,179,22,12.3
179,180,22,12.2
180,181,22,12.2
181,182,22,12.1
182,183,24,13.1
183,184,26,14.1
184,185,26,14.1
185,186,26,14.0
186,187,28,15.0
187,188,28,14.9
188,189,28,14.8
189,190,28,14.7
190,191,30,15.7
191,192,32,16.7
192,193,0,1.1498875939974e-311
193,194,32,16.5
194,195,32,16.4
195,196,32,16.3
196,197,32,16.2
197,198,32,16.2
198,199,34,17.1
199,200,34,17.0
200,201,36,17.9
