,episode_nr,total_reward,avg_reward
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0
3,4,0,0.0
4,5,0,0.0
5,6,0,0.0
6,7,0,0.0
7,8,0,0.0
8,9,0,0.0
9,10,0,0.0
10,11,0,0.0
11,12,0,0.0
12,13,0,0.0
13,14,0,0.0
14,15,0,0.0
15,16,0,0.0
16,17,0,0.0
17,18,0,0.0
18,19,0,0.0
19,20,0,0.0
20,21,0,0.0
21,22,0,0.0
22,23,0,0.0
23,24,2,8.3
24,25,2,8.0
25,26,2,7.7
26,27,2,7.4
27,28,2,7.1
28,29,2,6.9
29,30,2,6.7
30,31,2,6.5
31,32,2,6.2
32,33,2,6.1
33,34,2,5.9
34,35,2,5.7
35,36,2,5.6
36,37,2,5.4
37,38,2,5.3
38,39,2,5.1
39,40,2,5.0
40,41,2,4.9
41,42,2,4.8
42,43,2,4.7
43,44,2,4.5
44,45,2,4.4
45,46,2,4.3
46,47,2,4.3
47,48,2,4.2
48,49,2,4.1
49,50,2,4.0
50,51,2,3.9
51,52,2,3.8
52,53,2,3.8
53,54,2,3.7
54,55,2,3.6
55,56,2,3.6
56,57,2,3.5
57,58,2,3.4
58,59,2,3.4
59,60,2,3.3
60,61,2,3.3
61,62,2,3.2
62,63,2,3.2
63,64,2,3.1
64,65,2,3.1
65,66,2,3.0
66,67,2,3.0
67,68,2,2.9
68,69,2,2.9
69,70,2,2.9
70,71,2,2.8
71,72,2,2.8
72,73,2,2.7
73,74,2,2.7
74,75,2,2.7
75,76,2,2.6
76,77,2,2.6
77,78,2,2.6
78,79,2,2.5
79,80,2,2.5
80,81,2,2.5
81,82,2,2.4
82,83,2,2.4
83,84,2,2.4
84,85,2,2.4
85,86,2,2.3
86,87,2,2.3
87,88,2,2.3
88,89,2,2.2
89,90,2,2.2
90,91,2,2.2
91,92,2,2.2
92,93,2,2.2
93,94,2,2.1
94,95,2,2.1
95,96,2,2.1
96,97,2,2.1
97,98,2,2.0
98,99,2,2.0
99,100,2,2.0
100,101,2,2.0
101,102,2,2.0
102,103,2,1.9
103,104,2,1.9
104,105,2,1.9
105,106,2,1.9
106,107,2,1.9
107,108,2,1.9
108,109,2,1.8
109,110,2,1.8
110,111,2,1.8
111,112,2,1.8
112,113,2,1.8
113,114,2,1.8
114,115,2,1.7
115,116,2,1.7
116,117,2,1.7
117,118,2,1.7
118,119,2,1.7
119,120,2,1.7
120,121,2,1.7
121,122,2,1.6
122,123,2,1.6
123,124,2,1.6
124,125,2,1.6
125,126,2,1.6
126,127,2,1.6
127,128,2,1.6
128,129,2,1.6
129,130,2,1.5
130,131,2,1.5
131,132,2,1.5
132,133,2,1.5
133,134,2,1.5
134,135,2,1.5
135,136,2,1.5
136,137,2,1.5
137,138,2,1.4
138,139,2,1.4
139,140,2,1.4
140,141,2,1.4
141,142,2,1.4
142,143,2,1.4
143,144,2,1.4
144,145,2,1.4
145,146,2,1.4
146,147,2,1.4
147,148,2,1.4
148,149,2,1.3
149,150,2,1.3
150,151,2,1.3
151,152,2,1.3
152,153,2,1.3
153,154,2,1.3
154,155,2,1.3
155,156,2,1.3
156,157,2,1.3
157,158,2,1.3
158,159,2,1.3
159,160,2,1.2
160,161,2,1.2
161,162,2,1.2
162,163,2,1.2
163,164,2,1.2
164,165,2,1.2
165,166,2,1.2
166,167,2,1.2
167,168,2,1.2
168,169,2,1.2
169,170,2,1.2
170,171,2,1.2
171,172,2,1.2
172,173,2,1.2
173,174,2,1.1
174,175,2,1.1
175,176,2,1.1
176,177,2,1.1
177,178,2,1.1
178,179,2,1.1
179,180,2,1.1
180,181,2,1.1
181,182,2,1.1
182,183,2,1.1
183,184,2,1.1
184,185,2,1.1
185,186,2,1.1
186,187,2,1.1
187,188,2,1.1
188,189,2,1.1
189,190,2,1.1
190,191,2,1.0
191,192,2,1.0
192,193,2,1.0
193,194,2,1.0
194,195,2,1.0
195,196,2,1.0
196,197,2,1.0
197,198,2,1.0
198,199,2,1.0
199,200,2,1.0
200,201,2,1.0
